country,area,location,latitude,longitude,match_type
USA,Hawaii,Kona,19.6392883,-155.9943838,location
AUSTRALIA,Victoria,Levys Beach,-37.570464651832,143.879562394637,location
BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",-8.0049002,-34.8511694,location
MEXICO,Quintana Roo,"Delfines Beach, Cancun",21.061598,-86.778954,location
USA,California,"Huntington Beach, Orange County",33.659775,-117.999313,location
BAHAMAS,Northern Bahamas,Dive site known as The End of the Map,25.04082,-77.37122,location
AUSTRALIA,New South Wales,Jimmy's Beach,-32.679,152.1763,location
USA,Florida,Huguenot Park,30.2944108,-81.6241727,location
USA,Florida,Naples,26.1474521,-81.7954521,location
FIJI,Vitu Levu,Sigatoka,-18.1436112,177.4932216,location
AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",-37.688764683348,145.089243276295,location
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",-32.9871232,27.9272688,location
AUSTRALIA,South Australia,Glenelg,-34.979832429,138.513523022,location
AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",-20.61944,117.72778,location
AUSTRALIA,Queensland,Brisbane River,-27.40201,153.15117,location
USA,California,Catalina Island,33.38336,-118.41758,location
AUSTRALIA,South Australia,Adelaide,-34.925704229,138.596146626,location
USA,Florida,"Sebastian Inlet, Indian River or Brevard County",27.860358961891,-80.448469274799,location
REUNION,Saint-Pierre,Pic du Diable,-21.341797838,55.477835926,location
USA,Florida,"South Jacksonville Beach, Duval County",30.258331412651,-81.394225187585,location
TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",-6.8149233,39.288409,location
USA,North Carolina,"Holden Beach, Brunswick County",33.915334,-78.264155,location
NEW CALEDONIA,North Province,Poum,-20.23333,164.01667,location
ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,52.298214,-2.600379,location
THAILAND,Phang nga Province,Phang nga Island,8.529039,98.515909,location
USA,Florida,"Gulfstream Park beach, Palm Beach County",26.698934603672,-80.034644535489,location
USA,Florida,"Sebastian Inlet, Indian River County",27.8603,-80.44727,location
USA,Florida,"Pecks Lake, Martin County",27.1191,-80.14646,location
USA,Florida,"Behune Beach, Volusia County",28.9485103,-80.838487,location
AUSTRALIA,Queensland,Great Keppel Island,-23.1784,150.9482,location
USA,North Carolina,"Emerald Isle, Carteret County",34.665859,-77.030128,location
USA,Georgia,"Tybee Island, Chatham County",31.99241,-80.849252,location
AUSTRALIA,Queensland,Gladstone Reef,-24.385116307109,150.527401070625,location
USA,North Carolina,Carolina Beach,34.034278,-77.893974,location
AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",-18.38333,146.16667,location
USA,Hawaii,Waipo,21.410869,-157.999185,location
USA,Hawaii,"Mouth of Wallua River, Kaua'i",22.04155,-159.36049,location
REUNION,Saint-Paul,Cap de la Marianne,-21.066723286679,55.229265521294,location
BRAZIL,Pernambuco,Paiva,-8.2467024,-34.940901,location
USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",26.78506,-80.03754,location
USA,Oregon,"Gold Beach, Curry County",42.412439,-124.420599,location
BRAZIL,Pernambuco,"Boa Viagem, Recife",-8.1147257,-34.8917377,location
MAURITIUS,Unknown,Mahebourg,-20.4081422,57.7060561,location
USA,Florida,Near Port Canaveral Coast Guard Base,28.4162938,-80.62079,location
USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",37.010602,-122.193818,location
USA,Florida,"Indialantic, Brevard County",28.0894482,-80.5660328,location
USA,Hawaii,"Hanalei Point, Kaua'i",22.2031476,-159.4956482,location
USA,Hawaii,"Kekaha Beach, Kaua'i",21.9642,-159.7089,location
USA,Hawaii,"Waihe'e, Maui",20.9313,-156.50939,location
USA,Florida,"Sanibel Island, Lee County",26.44368,-82.10735,location
SOUTH AFRICA,KwaZulu-Natal,Umdhloti,-29.670887,31.1168842,location
USA,California,"San Miguel Island, Santa Barbara County",34.03972,-120.37543,location
SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,-30.023311833189,30.898610116502,location
ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",42.7926,10.2211,location
USA,Oregon,"Turnaround, Cape Kiwanda, Tillamook County",45.21752,-123.97938,location
MEXICO,Baja California,Guadalupe Island,29.04521,-118.27754,location
SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,-28.83333,29.85,location
USA,California,San Francisco,37.7800771,-122.4201615,location
SOUTH AFRICA,Eastern Cape Province,Nahoon,-32.9871,27.93823,location
USA,South Carolina,"Isle of Palms, Charleston County",32.7884238,-79.7877544,location
NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",-22.60636,167.47765,location
BAHAMAS,Andros Islands,North Rat Cay Reef,24.98333,-77.93333,location
USA,California,"Moonstone Beach, Humboldt County",41.0301372,-124.1121609,location
USA,Florida,"Jupiter, Palm Beach County",26.9341448,-80.0997362,location
MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,11.5,162.25,location
NEW CALEDONIA,Unknown,Sarcelle,-22.204364604121,166.457223034616,location
USA,Florida,"Daytona Beach, Volusia County",29.2070854,-81.0207257,location
AUSTRALIA,South Australia,Coffin Bay,-34.616456333,135.481421862,location
USA,California,"Franklin Point, San Mateo County",37.14967,-122.36053,location
SOUTH AFRICA,KwaZulu-Natal,Durban,-29.8579,31.0292,location
USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",20.9342774,-156.3560344,location
MOZAMBIQUE,Maputo Province,Inhaca Island,-26.00758,32.93281,location
USA,California,"Laguna Beach, Orange County",33.545844,-117.781731,location
SOUTH AFRICA,Western Cape Province,Mossel Bay,-34.18307,22.14605,location
MOZAMBIQUE,Limpopo River,3.2 km inland,-18.25,35.0,location
PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,-7.88836,145.30558,location
USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",30.4551398,-86.5521566,location
TAIWAN,Northern Taiwan,Tamsui Beach,25.172091833333,121.4378634,location
SOUTH AFRICA,Western Cape Province,Swartklip,-34.08333,18.68333,location
TURKEY,Antalya Province,Ucagiz,36.19722,29.84861,location
USA,California,San Francisco Bay,37.70826,-122.28025,location
USA,South Carolina,"Hilton Head, Beaufort County",32.21632,-80.75261,location
SOUTH AFRICA,Eastern Cape Province,East London,-33.01529,27.91162,location
AUSTRALIA,New South Wales,Lake Illawarra,-34.543577333,150.862246336,location
AUSTRALIA,Queensland,Dicky Beach,-26.784081111,153.135358548,location
AUSTRALIA,New South Wales,"Seaspray, near Sale",-34.9309,150.7811,location
AUSTRALIA,Torres Strait,"Horn Island, near Thursday Island",-10.58257,142.21949,location
TURKEY,Anatolia,"İnciralti Beach, İzmir",38.4043629,27.030026,location
SOUTH AFRICA,Western Cape Province,"5 km from Gordon’s Bay, False Bay",-34.15881,18.86476,location
USA,New Jersey,"Ocean City, Cape May County",39.278297,-74.575521,location
SENEGAL,Cap-Vert Peninsula,off Dakar,14.73886,-17.4638,location
AUSTRALIA,Western Australia,Rottnest Island,-32.007488242,115.520328532,location
BERMUDA,"33N, 68W",Royal Canadian Navy CS2F-1 aircraft ditched in the sea 180 nautical miles WNW of Bermuda at 01h30,32.306817732,-64.770041837,location
SENEGAL,Casamance,Ziguinchor,12.56801,-16.27326,location
AUSTRALIA,New South Wales,Wattamolla National Park,-34.1324,151.1153,location
AMERICAN SAMOA,Tutuila Island,Van Camp wharf,-14.29972,-170.7225,location
PACIFIC OCEAN,Between Hawaii & Wake Island,600 miles northwest of Honolulu,39.824886685156,-74.177646289662,location
FIJI,Viti Levu,Suva Harbor,-18.13125,178.41737,location
PAPUA NEW GUINEA,Unknown,Port Moresby,-9.4670693,147.1960341,location
USA,Puerto Rico,Aquadilla,18.463151,-67.148428,location
AUSTRALIA,Victoria,Point Lonsdale,-38.259560082,144.602645707,location
PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",-5.22152,145.78695,location
AUSTRALIA,New South Wales,Maroubra Beach,-33.95,151.23333,location
USA,California,"Santa Catalina Island, Los Angeles County",33.38336,-118.41758,location
USA,Hawaii,"Maile Beach, O'ahu",21.301381623318,-157.816383970707,location
INDIAN OCEAN,Unknown,Between Straits of Malacca and Sri Lanka,40.242529,-74.032533,location
USA,Florida,"Panacea, Wakulla County",30.037393,-84.3880119,location
USA,South Carolina,Seabrook Beach,32.5682,-80.1593,location
SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,-30.09626,30.85583,location
AUSTRALIA,South Australia,Streaky Bay,-32.796484616,134.212635779,location
AUSTRALIA,New South Wales,"Kurnell, Botany Bay",-33.948929411632,151.205104917363,location
PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",-2.57337,150.79516,location
PAPUA NEW GUINEA,Bougainville (North Solomons),"Orava (Aravo) Islet , near Kieta.",-6.25182,155.36247,location
AUSTRALIA,Queensland,Rib Reef off Townsville,-19.155839987699,146.605726429204,location
NEW GUINEA,Morobe Province,Finschafen,-6.55793,147.84635,location
USA,Florida,In a canal 10 miles north of St Augustine,29.896004,-81.316709,location
USA,North Carolina,Ocracoke,35.1146786,-75.9839322,location
USA,North Carolina,"Ocracoke Inlet, Carteret County",35.06406,-76.01601,location
SOLOMON ISLANDS,Unknown,Guadalcanal,-9.63333,160.2,location
AUSTRALIA,New South Wales,"Fairy Bower, near North Steyne",-33.791426044312,151.2869958352,location
SOUTH AFRICA,KwaZulu-Natal,"Vetch’s Pier, Durban",-29.8673139,31.0473372,location
GREECE,Unknown,Salonika?,40.64361,22.93086,location
AUSTRALIA,New South Wales,Newcastle Harbor,-32.906037,151.783077,location
SOUTH AFRICA,KwaZulu-Natal,Tugela River Mouth,-29.2311,31.4891,location
USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",37.6971963,-122.1885749,location
AUSTRALIA,New South Wales,Newcastle Beach,-32.92914,151.78608,location
AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",-31.988500729,115.777843065,location
USA,New Jersey,Ocean City (offshore),39.9380872,-74.0739923,location
USA,Puerto Rico,San Juan,18.466302,-66.105229,location
AUSTRALIA,Western Australia,Bunbury,-33.330540816,115.636519563,location
AUSTRALIA,Torres Strait,Arlington Reef,-9.561435995,142.288520258,location
SOUTH AFRICA,KwaZulu-Natal,Tugela River,-29.22506,31.4971,location
AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",-33.8396397,151.2371247,location
USA,New Jersey,"Spring Lake, Monmouth County",40.156143,-74.027162,location
USA,Hawaii,"Pa'uwela, Maui",20.93076,-156.31686,location
INDONESIA,Java,Jakarta Harbor,-6.1908514,106.7625996,location
CUBA,Havana Province,Havana Harbor,23.13804,-82.3402,location
PHILIPPINES,Mindoro Occidental,Off Lubang Island,13.77912,120.19531,location
MEXICO,Vera Cruz,Vera Cruz Harbor,19.186026907,-96.157282698,location
NEW ZEALAND,North Island,"Marine Parade, Napier, Hawke Bay",-39.4851285,176.9199433,location
NEW ZEALAND,South Island,Oamaru,-45.0982715,170.9680295,location
USA,Florida,"Fernandina, Nassau County",30.66968,-81.46259,location
GEORGIA,Unknown,"Savannah River, Chatham County",32.0806102,-81.0900966,location
AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",-33.853788571419,150.967873606449,location
USA,Florida,"Pensacola Bay, Escambia County",30.4108672,-87.2353285,location
USA,California,"Los Angeles, Los Angeles County",34.052238,-118.243344,location
USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",32.762463810286,-80.000722453287,location
AUSTRALIA,New South Wales,"Woolloomooloo, Sydney Harbor (Estuary)",-33.8683,151.2191,location
AUSTRALIA,Victoria,Warrnambool,-38.382917646,142.488049347,location
INDIA,Tamil Nadu,Chennai (formerly Madras),13.0720922,80.2018554,location
BRAZIL,Paraiba,Paraiba,-7.121071711959,-36.83247009846,location
TOBAGO,Unknown,Scarborough Bay,11.1872144,-60.7307787,location
AUSTRALIA,New South Wales,"Georges Head, off Port Jackson",-33.836648,151.258856,location
USA,Florida,New Smyrna Beach,29.029722,-80.9237495,location
BAHAMAS,Lucayan Lucayan Archipelago,Athol Island,24.68695,-78.01941,location
USA,Florida,"Flagship Drive, Summerland Key, Monroe County",24.651529146827,-81.445335669156,location
USA,Hawaii,"Keawakapu Point, Kehei, Maui",20.696233591554,-156.386877629181,location
USA,Hawaii,Kauai,22.04942,-159.53099,location
EGYPT,"Hurghada, Red Sea Governorate",Sahl Hasheesh,27.0378523,33.874998,location
COSTA RICA,Guanacoste,Playa Del Coco,10.5535,-85.6959,location
USA,Florida,"Key Biscayne, Miami-Dade County",25.692497,-80.169556,location
USA,Florida,"Fort Lauderdale, Broward County",26.1241631,-80.1435862,location
NEW CALEDONIA,Loyalty Islands,Ouvéa,-20.6617,166.55308,location
AUSTRALIA,Western Australia,Blackwall Reach,-32.0184,115.7855,location
USA,Florida,"Cocoa Beach, Brevard  County",28.320224,-80.608867,location
USA,Hawaii,"Charley Young Beach, Maui",20.724887,-156.4490193,location
USA,Hawaii,Puako,19.977355,-155.828993,location
SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,-29.702527167629,31.085699372792,location
USA,California,"Summerland, Santa Barbara County",34.421651,-119.601537,location
AUSTRALIA,Queensland,North West Island,-23.29679,151.70754,location
NEW ZEALAND,Southland,Oreti Beach,-46.435373777,168.245184382,location
NEW CALEDONIA,Unknown,Calana,-21.307791316,165.701841842,location
USA,Hawaii,"Cove Park, Kihei, Maui",20.72778,-156.44917,location
USA,Florida,"Off Boca Grande, Lee County",26.749137,-82.261949,location
USA,Hawaii,Waikoloa area,21.331235697081,-158.066276776137,location
USA,Hawaii,"Hanalei Bay, Kauai",22.20889,-159.50709,location
USA,California,"Trinidad Beach, Huboldt County",41.05845,-124.143149,location
AUSTRALIA,New South Wales,Birubi Point,-36.029142929325,146.958564954168,location
USA,Hawaii,"Kama‘ole Beach Park, Maui",20.72194,-156.45,location
SAMOA,Upolu Island,Nofoali’i,-13.8217,-171.95873,location
REUNION,Unknown,Boucan Canot,-21.0283,55.22725,location
SPAIN,Alicante Province,Arenales del Sol,38.25662,-0.51846,location
AUSTRALIA,Western Australia,Near Albany,-35.025111419,117.883783979,location
USA,California,"Corona Del Mar, Newport, Orange County",33.606988443995,-117.874217169872,location
USA,Texas,Galveston,29.300128,-94.795846,location
AUSTRALIA,Victoria,Tyrendarra Beach,-38.218595687,141.796191537,location
REUNION,Unknown,St. Leu,-21.166222526,55.28690687,location
AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",-28.63373,153.60035,location
USA,Hawaii,"Kihei, Maui",20.7814563,-156.4626867,location
SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",28.5070446,-16.1893959,location
BAHAMAS,West End,Tiger Beach,26.68711,-78.97702,location
AUSTRALIA,New South Wales,Tathra,-36.731499184,149.983067808,location
