attack_id,date,year,month,hour,country,area,location,activity,fatal,attack_latitude,attack_longitude,noaa_latitude,noaa_longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,distance_km
525,2015-06-30,2015.0,6.0,,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,0.0,-35.3407,150.4776,-35.35,150.65,19.9,,,,,,15.670769499052035
554,2015-09-03,2015.0,9.0,16.0,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,0.0,33.68785,-78.883852,33.66,-78.92,28.7,3.1,,,,,4.558436898434041
769,2017-04-29,2017.0,4.0,11.0,USA,South Carolina,"Folly Beach, Charleston County",Surfing,0.0,32.655954,-79.941069,32.69,-79.89,,2.6,,,,,6.097617925000881
50,2011-06-21,2011.0,6.0,,USA,Florida,"Perdido Key, Escambia County",Jet skiing,0.0,30.3002,-87.42748,30.4,-87.21,30.7,4.6,,,,,23.635697754286564
207,2012-09-08,2012.0,9.0,,USA,Florida,"South Beach, Miami-Dade County",Swimming,0.0,25.7745,-80.1329,25.73,-80.16,,1.4,,,,,5.64365569817919
417,2014-08-24,2014.0,8.0,,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,0.0,34.12545,-77.85804,34.16,-77.85,,7.7,,,,,3.9123952238621587
624,2016-03-13,2016.0,3.0,,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,33.7109249,-118.0654702,33.73,-118.19,,2.1,,,,,11.711089144354375
697,2016-09-07,2016.0,9.0,14.0,USA,Hawaii,"Makaha, Oahu",Swimming,0.0,21.468004,-158.214988,21.7,-158.1,26.9,,1.0,5.0,0.5,15.0,28.40486776558352
92,2011-09-28,2011.0,9.0,12.0,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,0.0,-34.12487,18.43276,-34.12,18.22,13.8,,,,,,19.59242997486123
498,2015-05-09,2015.0,5.0,,NEW CALEDONIA,Unknown,Kouare,Snorkeling,1.0,-21.6710827,166.0721766,-20.88,166.49,26.6,,,,,,98.04100826858043
559,2015-09-17,2015.0,9.0,15.0,USA,Florida,"Jacksonville Beach, Duval County",Surfing,0.0,30.2881812,-81.3920144,30.38,-81.45,,,,,,,11.627946899496633
602,2015-12-26,2015.0,12.0,,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Fishing,0.0,-29.5805313,31.1788593,-29.7,31.5,28.0,8.2,2.5,8.0,2.5,8.0,33.76010247028086
617,2016-02-19,2016.0,2.0,16.0,NEW CALEDONIA,South Province,Yate,Spearfishing,0.0,-22.08333,166.75,-22.4,166.7,26.0,8.7,1.0,3.0,1.0,3.0,35.58620214718623
670,2016-07-14,2016.0,7.0,,BAHAMAS,Unknown,Tiger Beach,Scuba Diving,0.0,25.04113018772,-77.295281932361,25.3,-77.3,,7.2,,,,,28.788970698823565
674,2016-07-16,2016.0,7.0,11.0,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,0.0,29.029722,-80.9237495,28.42,-80.59,31.0,1.0,,,,,75.2043515779445
798,2017-07-20,2017.0,7.0,11.0,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,0.0,34.410297,-119.691837,34.41,-119.69,,1.5,,,,,0.17172713542848034
32,2011-05-10,2011.0,5.0,,USA,Florida,Miami,Fishing,0.0,25.775084,-80.194702,25.73,-80.16,28.6,2.5,,,,,6.100006145416339
268,2013-04-24,2013.0,4.0,13.0,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,0.0,21.04716,-86.781947,21.3,-86.5,28.0,6.7,1.0,1.0,,,40.55970993659261
